data,descricao,valor,tipo,categoria
2026-04-21,99Pop - Corrida,44.10,debito,transporte
2026-04-23,C&A - Roupas,312.40,debito,vestuario
2026-04-25,Show Rock,150.00,debito,lazer
2026-04-28,Condomínio,480.00,debito,moradia
2026-04-30,Receita Abril - 2ª Parcela,20000.00,receita,outros_receita
2026-05-02,Supermercado Pão de Açúcar,456.80,debito,mercado
2026-05-04,iFood - Japonês,105.60,debito,restaurante
2026-05-05,Uber - Corrida,33.70,debito,transporte
2026-05-06,Farmácia Drogasil,198.40,debito,saude
2026-05-07,Netflix,39.90,debito,assinaturas
2026-05-08,Spotify,21.90,debito,assinaturas
2026-05-09,Academia Smart Fit,99.90,debito,saude
2026-05-11,Posto Ipiranga - Gasolina,291.00,debito,transporte
2026-05-12,Conta de Luz ENEL,324.80,debito,moradia
2026-05-13,Internet Vivo Fibra,110.00,debito,moradia
2026-05-14,Restaurante Fogo de Chão,248.90,debito,restaurante
2026-05-15,Receita Maio - 1ª Parcela,20000.00,receita,outros_receita
2026-05-16,Supermercado Natural da Terra,367.40,debito,mercado
2026-05-17,Padaria Francesa,62.80,debito,alimentacao
2026-05-18,Convênio Unimed,350.00,debito,saude
2026-05-19,Livraria Cultura,189.90,debito,educacao
2026-05-20,iFood - Thai,98.70,debito,restaurante
2026-05-21,99Pop - Corrida,37.40,debito,transporte
2026-05-23,Levis - Jeans,389.90,debito,vestuario
2026-05-25,Ingresso Festival,180.00,debito,lazer
2026-05-27,Água SABESP,108.60,debito,moradia
2026-05-31,Receita Maio - 2ª Parcela,20000.00,receita,outros_receita
